SrcPort,DstPort,Protocol,FlowDurationMs,TotFwdPkts,TotBwdPkts,TotLenFwdBytes,TotLenBwdBytes,FlowBytsPerS,FlowPktsPerS,SYNFlagCnt,ACKFlagCnt,RSTFlagCnt,Label,IsInjectedOutlier
56319.0,500.0,6,2253.359881340144,249.0,45.0,46563.0,23490.0,31088.243196349657,130.47183560628093,0,1,1,VPN,False
44172.0,443.0,6,2658.144045902606,53.0,17.0,8427.0,14059.0,8459.28573158442,26.334163533350058,2,8,1,WEB,False
2328.0,443.0,6,1095.67343993691,11.0,79.0,3388.0,40843.0,40368.779955592305,82.14126282479047,2,4,1,WEB,False
25708.0,443.0,6,7028.772331167366,59.0,47.0,10207.0,16591.0,3812.614598593675,15.080869745911246,1,2,1,WEB,False
43103.0,1935.0,17,7578.610678475451,108.0,1173.0,28404.0,1124907.0,152179.73965539623,169.02834231058455,0,0,0,VIDEO,False
2350.0,20000.0,17,7733.551754511142,451.0,301.0,82082.0,56287.0,17892.037758625782,97.2386328909408,0,0,0,VOIP,False
21917.0,443.0,6,1476.6667280566426,16.0,18.0,2736.0,14670.0,11787.358426438612,23.024829742555028,2,4,1,WEB,False
21205.0,443.0,6,3713.663115300305,31.0,20.0,2201.0,19080.0,5730.460555865235,13.733071206669186,1,3,1,WEB,False
41320.0,443.0,6,1345.7504095599988,26.0,17.0,6760.0,15674.0,16670.253146967225,31.952433151448275,2,9,1,WEB,False
64344.0,20000.0,17,11494.813004538626,178.0,418.0,12994.0,31768.0,3894.104234868903,51.84947330284317,0,0,0,VOIP,False
22497.0,5060.0,6,4504.295707681709,435.0,189.0,38280.0,33453.0,15925.46419136408,138.5344214714453,0,8,1,VOIP,False
4944.0,443.0,6,1524.0833700741878,57.0,78.0,16929.0,16848.0,22162.173450101905,88.57783153517947,2,8,1,WEB,False
25279.0,443.0,6,1132.7630463400862,22.0,34.0,6798.0,31042.0,33405.044525648664,49.436640947048765,1,9,0,WEB,False
26359.0,21.0,6,5137.137983165777,106.0,60.0,101442.0,32880.0,26147.243940141092,32.313712527087304,0,9,1,BULK,False
26374.0,5061.0,17,9677.317397253735,263.0,424.0,33401.0,36464.0,7219.459394793288,70.99074793133884,0,0,0,VOIP,False
41517.0,5060.0,17,5090.759802730601,360.0,229.0,56160.0,24274.0,15799.99904078297,115.69982140663365,0,0,0,VOIP,False
59653.0,443.0,17,2046.9795395323065,35.0,77.0,8365.0,28182.0,17854.111042238485,54.71476281858184,0,0,0,WEB,False
27185.0,443.0,17,4776.006484009907,131.0,485.0,17685.0,298275.0,66155.68907995323,128.9780493519787,0,0,0,VIDEO,False
